,total_pnl_pct,sharpe,avg_position,n_days_active
BTCUSDT,0.20220182523053792,1.2510766372573185,0.1100450669800137,1060.0
ARBUSDT,0.10582489555707233,0.6833547039986458,0.04531136790340652,869.0
BNBUSDT,0.1026643307078759,0.6338920123200249,0.09946817018390715,1046.0
ETHUSDT,0.09098567182991904,0.49413448578625274,0.08514689293970751,1050.0
ATOMUSDT,0.08900994829954942,0.31031721202915363,0.05515256989532303,1248.0
LTCUSDT,0.07488811365369505,0.24018529825422996,0.0763869428302345,1316.0
TIAUSDT,0.06740775196971545,0.4333692657910498,0.04559329916283641,726.0
UNIUSDT,0.062005337151639556,0.24639807824014906,0.04346316706195992,1278.0
MKRUSDT,0.05318932875414119,0.17322102218018684,0.05853880942876915,1382.0
NEARUSDT,0.03924114370513667,0.11965612621510184,0.04130060970370604,1244.0
INJUSDT,0.026819508232384492,0.10137533594211068,0.0463303079307353,1028.0
ADAUSDT,0.018998182549064567,0.056949054520955854,0.08295176976337218,1395.0
STXUSDT,-0.007760362487800078,-0.061545998908370134,0.03196167270644268,828.0
SOLUSDT,-0.009601483880616879,-0.07456992283338552,0.030843132064789835,870.0
RNDRUSDT,-0.013185729359546493,-0.1643998372218383,0.018527094049133257,470.0
AAVEUSDT,-0.020798475483571763,-0.06721047193194422,0.041837298402695754,1279.0
SEIUSDT,-0.02262384913373071,-0.12327246128996397,0.05808042097374234,818.0
WLDUSDT,-0.028998445169617373,-0.12050378273079047,0.059926502453227684,864.0
AVAXUSDT,-0.04090742861725082,-0.15702736438206144,0.035829535928279456,1047.0
LINKUSDT,-0.04685811421549889,-0.1664403607014199,0.050082524686692075,1266.0
DOTUSDT,-0.07876860503210704,-0.3038349232760878,0.06311783473351053,1331.0
FETUSDT,-0.08420911298430417,-0.3574718294723118,0.05883749491088561,1038.0
XRPUSDT,-0.088836707243774,-0.24520967132336174,0.08041392638092519,1272.0
APTUSDT,-0.1285843384804032,-0.5658821366122072,0.03259808912397497,904.0
SUIUSDT,-0.1369501888341155,-0.8840305853469211,0.040596345495396126,855.0
OPUSDT,-0.2852521513205667,-0.594354120755084,0.060107376911300414,1187.0
