,total_pnl_pct,sharpe,avg_position,n_days_active
BTCUSDT,0.08061786211971825,0.9218765544409445,0.05915885836868026,1076.0
TIAUSDT,0.06925013746182114,0.6906075732384009,0.027614285638276167,653.0
ARBUSDT,0.06817564174394038,0.64282477027171,0.030986863367080363,956.0
NEARUSDT,0.06727285059168947,0.30604151743594604,0.024674753014282277,1132.0
FETUSDT,0.05681976317208077,0.41206479760826664,0.035578956283396766,1007.0
BNBUSDT,0.05392577263086448,0.5888263237627087,0.0556157033348369,1076.0
UNIUSDT,0.0526429729167408,0.3571119231724528,0.024845947141664475,1335.0
ADAUSDT,0.03351343356177784,0.16688344545102773,0.049160757980089245,1392.0
LTCUSDT,0.013905320114752626,0.07412197729296355,0.04300324564963978,1355.0
SEIUSDT,0.01362842611311341,0.12459321674750658,0.03606619438953621,803.0
AVAXUSDT,0.010244024069936644,0.0697499285862669,0.02208609194542348,1194.0
ETHUSDT,0.008894010645107933,0.08498911093345854,0.046949074660007376,1075.0
INJUSDT,0.00751951916789638,0.04975421396395651,0.027673695768843463,1103.0
SOLUSDT,-0.011265139678313735,-0.17062283332023157,0.01818107241676406,987.0
AAVEUSDT,-0.01575117078645106,-0.08485550706800078,0.02617029732642653,1301.0
RNDRUSDT,-0.0162902398267866,-0.2777286921711212,0.011876310416842254,497.0
MKRUSDT,-0.017369676648844527,-0.09851633617020074,0.033122768359372834,1238.0
ATOMUSDT,-0.02415215546422654,-0.12598138201393727,0.03419845116130786,1337.0
WLDUSDT,-0.028564522666596738,-0.17731272943287768,0.03372896379026833,849.0
APTUSDT,-0.035011902004076126,-0.34826148911286525,0.020820330570699784,1096.0
STXUSDT,-0.03687280785711434,-0.4934605073078264,0.01815004578623592,879.0
XRPUSDT,-0.041071895404621556,-0.18052417544411883,0.048720687636527316,1368.0
LINKUSDT,-0.04324046877299084,-0.26790390175097667,0.02931782925917297,1384.0
SUIUSDT,-0.05014641155489444,-0.5421874324183595,0.02418353269526048,835.0
DOTUSDT,-0.06418596940470463,-0.38858922965925907,0.0371390243077754,1395.0
OPUSDT,-0.09544408141273861,-0.4287751940813807,0.0335089364214414,1196.0
