,total_pnl_pct,sharpe,avg_position,n_days_active
BTCUSDT,0.16204645410145857,1.377295715436039,0.08099947134735576,1073.0
BNBUSDT,0.11652860354204402,0.959652924054781,0.07687480135371877,1069.0
ETHUSDT,0.0892336798443022,0.6291813134561255,0.068521312701574,1073.0
NEARUSDT,0.08372533852710996,0.3078610435635212,0.03389260748687012,1339.0
UNIUSDT,0.06592019009348109,0.30460745022029756,0.03740671855314989,1377.0
ARBUSDT,0.05475216462581295,0.3793816723702791,0.042246541985837896,944.0
LTCUSDT,0.0464761098597882,0.18483262433502182,0.06329698794607325,1402.0
ATOMUSDT,0.043294689455659945,0.18879487342062398,0.04776847711199659,1344.0
MKRUSDT,0.014158505871713065,0.05830737236172729,0.047199695610266365,1398.0
TIAUSDT,0.013270492904899067,0.09968181351901596,0.04107738791239605,773.0
AVAXUSDT,0.013200404393702486,0.06642835457218857,0.03260738643255067,1342.0
STXUSDT,0.011182063551749806,0.10222594039215424,0.02868355478471979,928.0
AAVEUSDT,0.009643348723962233,0.03759689634049017,0.03890558869446183,1372.0
SOLUSDT,0.003894530621959068,0.036847863342914136,0.03087235703723224,1031.0
INJUSDT,-0.007203899279188835,-0.03350934953555038,0.03876470010896845,1152.0
RNDRUSDT,-0.013428615877600816,-0.17961955686208148,0.0173639253787558,471.0
ADAUSDT,-0.035861698812525086,-0.11965232278407886,0.0748829234315368,1413.0
WLDUSDT,-0.053413298399019926,-0.25747507054521734,0.05193474840622119,872.0
LINKUSDT,-0.05727688483643365,-0.2390933517073058,0.04389308357841653,1394.0
DOTUSDT,-0.07119593227429473,-0.3317889797973306,0.05383251211899577,1365.0
APTUSDT,-0.08792302664492423,-0.5089592431256826,0.031910202203004875,1076.0
SEIUSDT,-0.10660790792985439,-0.6230858734320435,0.05651255342948186,835.0
SUIUSDT,-0.10960498307173404,-0.8434658449652036,0.03588429374205385,946.0
XRPUSDT,-0.11600011753113237,-0.38562929099323534,0.07335111323388868,1386.0
FETUSDT,-0.15604370568638296,-0.7566786263590765,0.05461514748246576,1059.0
OPUSDT,-0.2711172376515742,-0.7096973865122321,0.05066849411173853,1217.0
