,total_pnl_pct,sharpe,avg_position,n_days_active
BTCUSDT,0.17595501014215548,1.3193121954622031,0.09051116006089795,1074.0
BNBUSDT,0.12816587587821798,0.9781336231648496,0.07997882106114998,1056.0
UNIUSDT,0.08764672928378908,0.41542478825822193,0.036019822313099505,1221.0
ARBUSDT,0.07013806665021109,0.6269091700652969,0.03357021773261801,853.0
ETHUSDT,0.06517455657921783,0.46919500323194435,0.06928074762595489,1069.0
NEARUSDT,0.06211850829426024,0.22313507426441806,0.03281253530329053,1097.0
TIAUSDT,0.061797924557071254,0.5176320756745139,0.034881796730154596,755.0
LTCUSDT,0.056080356125166354,0.2223164600929203,0.061085938020789876,1394.0
MKRUSDT,0.046274742935638456,0.192998265740436,0.046060968540685664,1327.0
ATOMUSDT,0.029844741466828875,0.1231284636354936,0.0484035549151581,1235.0
SOLUSDT,0.020117352506945473,0.21565148606492213,0.023309387084938675,721.0
AVAXUSDT,0.020000291495590204,0.10278808526946391,0.022918153585711504,761.0
AAVEUSDT,0.003396790554333458,0.013752985999447862,0.03289530345277723,1104.0
DOTUSDT,-0.008976649323606326,-0.03913890256755009,0.05347266005185901,1211.0
INJUSDT,-0.010469367325268009,-0.04949146707924036,0.035233623750156325,1089.0
RNDRUSDT,-0.018356826831878045,-0.28380582355749623,0.014263759037926843,448.0
WLDUSDT,-0.023319778966235202,-0.1228701106706748,0.04610414976360546,871.0
STXUSDT,-0.023372992524288046,-0.22588577475171226,0.025604214747939575,867.0
LINKUSDT,-0.030166788063345606,-0.1330933907323518,0.037824163909975624,1280.0
SUIUSDT,-0.07538516757827898,-0.6597992158469607,0.03256961300801916,869.0
APTUSDT,-0.07666491485106527,-0.41259620060182683,0.02860225926069527,972.0
ADAUSDT,-0.08811372690370792,-0.3081622465227831,0.07000863039347266,1416.0
XRPUSDT,-0.10523630052891372,-0.364571741271994,0.06460459766880473,1285.0
SEIUSDT,-0.12082508412884854,-0.7448603839770293,0.04848118343915446,829.0
FETUSDT,-0.12756554170102075,-0.6349142814977191,0.04938628753561203,1059.0
OPUSDT,-0.24449527159841256,-0.6640385405989199,0.0455835208315126,1172.0
