,total_pnl_pct,sharpe,avg_position,n_days_active
BTCUSDT,0.1584684226909061,1.425975564868701,0.07704142696731886,1076.0
BNBUSDT,0.12349238344717321,1.0234868721090455,0.07603309188956721,1076.0
NEARUSDT,0.11331862341580187,0.37819552001859286,0.03482490068299585,1366.0
ETHUSDT,0.08577917435957645,0.6183930545639348,0.06775111471814188,1076.0
ARBUSDT,0.07672314707990734,0.47772830743757444,0.04473630330647408,995.0
UNIUSDT,0.07167982128906175,0.31157188013215276,0.03950990109659239,1391.0
LTCUSDT,0.05564416318953716,0.2159001932252537,0.06371315402262148,1405.0
ATOMUSDT,0.055003804348847565,0.22154051752357218,0.05179126820952543,1340.0
AVAXUSDT,0.041700536751507936,0.19795479793306875,0.03453600659721007,1368.0
AAVEUSDT,0.04120564953675385,0.153932177058652,0.03980262977626497,1402.0
STXUSDT,0.029808102232814715,0.2806782318056365,0.02668348947794268,1005.0
SOLUSDT,0.022645540179756334,0.21210940921534177,0.031795621185265646,1017.0
TIAUSDT,0.01620146001127719,0.118885588407016,0.04123413100253779,770.0
INJUSDT,0.006628184345312021,0.03354502263035122,0.0355685272083237,1160.0
MKRUSDT,-0.004406220066765866,-0.017590735415354646,0.048339314246452686,1386.0
LINKUSDT,-0.020809552597482163,-0.08314073405052559,0.046395098576952086,1386.0
DOTUSDT,-0.035136118730498725,-0.15521537805441193,0.05663901206544271,1397.0
RNDRUSDT,-0.035169026514276974,-0.4703852590262863,0.01620445438290767,468.0
WLDUSDT,-0.037097538803997104,-0.16510628700734997,0.05517113553325816,873.0
ADAUSDT,-0.08622383714417323,-0.24965445317830404,0.08745512808150155,1416.0
SUIUSDT,-0.09407136420159921,-0.7517339148194476,0.03518457400974268,935.0
SEIUSDT,-0.10302930759046935,-0.4908479965847392,0.06850685241857164,829.0
FETUSDT,-0.15427088158989602,-0.7166258541466867,0.05383286915672401,1063.0
APTUSDT,-0.17739911656479745,-0.8427540892990452,0.03136180374180959,1109.0
XRPUSDT,-0.19469772120949602,-0.5581681166497819,0.08330420957545161,1406.0
OPUSDT,-0.2656631485353051,-0.6657445716022928,0.05038919480829464,1244.0
