,total_pnl_pct,sharpe,avg_position,n_days_active
BTCUSDT,0.14868687906229963,1.2226462126813238,0.08529262808240044,1076.0
BNBUSDT,0.10295287648625903,0.8065046425807031,0.08004570881092718,1073.0
NEARUSDT,0.09983519394148879,0.3405610218375701,0.03499952039919769,1318.0
UNIUSDT,0.09777448987722481,0.4422121073111557,0.03874350513877863,1391.0
ARBUSDT,0.061291892419078245,0.41167185875100193,0.04366490683040077,960.0
ETHUSDT,0.05761207431851486,0.39209765676193603,0.07138768827517475,1076.0
TIAUSDT,0.05391098079034365,0.3857302941040889,0.04249881201737422,776.0
ATOMUSDT,0.03722278218163928,0.15204222667461773,0.04967869750967012,1335.0
LTCUSDT,0.02759640066040718,0.10399004349925842,0.06503185287104414,1405.0
AVAXUSDT,0.02472878897722343,0.11669191664330884,0.033593475278014394,1393.0
AAVEUSDT,0.0230552388998504,0.0895128109020677,0.039165097661525476,1394.0
ADAUSDT,0.022959637799059684,0.07576660047203243,0.07742089178545894,1416.0
MKRUSDT,0.015892969075265807,0.062159774873182985,0.04959668181191398,1402.0
STXUSDT,0.007937763031004104,0.06795782890276389,0.029461140227021468,888.0
INJUSDT,0.006587831093215844,0.03014736891888808,0.039084368851592395,1168.0
SOLUSDT,0.005774699006127086,0.0541314847672467,0.03166217916317376,1024.0
RNDRUSDT,0.001677193967062866,0.022062773094775407,0.018254205057234,491.0
WLDUSDT,-0.02210080250122396,-0.10576915081074752,0.05301724113812124,874.0
LINKUSDT,-0.04216910579472033,-0.169759403682824,0.04541593264368567,1394.0
DOTUSDT,-0.04750072506464843,-0.20939753659657995,0.05593174048153108,1409.0
SEIUSDT,-0.08362988644705106,-0.465621944452241,0.05840032232482033,838.0
XRPUSDT,-0.08525956795998058,-0.2744709806718901,0.07510772414540783,1410.0
FETUSDT,-0.08827471663293238,-0.41584325163484864,0.05664686981011741,1062.0
APTUSDT,-0.09408596385101943,-0.5275804157068976,0.032060911304060476,1063.0
SUIUSDT,-0.11746246229062643,-0.9207295746644588,0.036725697361924436,934.0
OPUSDT,-0.2772594441795437,-0.6961335348654061,0.051127111326304715,1208.0
