,total_pnl_pct,sharpe,avg_position,n_days_active
BTCUSDT,0.13483835783724418,1.1545704677663067,0.08211549907556534,1073.0
BNBUSDT,0.12165734744834386,0.9841109031917159,0.07799669487152945,1066.0
NEARUSDT,0.0925593939268246,0.3152892430588185,0.03330874085472773,1085.0
ETHUSDT,0.08449619370982774,0.612285561619044,0.06732841030818103,1071.0
UNIUSDT,0.0844865403035598,0.38244922579422214,0.036010127072765165,1123.0
LTCUSDT,0.0520133103439071,0.20395376019040695,0.06223046687321073,1363.0
ARBUSDT,0.05191818286476019,0.36067169202355576,0.04229383323448584,926.0
AVAXUSDT,0.04072845725610789,0.19998675643925962,0.029776330868535407,1186.0
ATOMUSDT,0.03839284498543934,0.15960389621527493,0.04801257804731891,1294.0
SOLUSDT,0.03534206203518072,0.3612739466735256,0.026850856756591983,914.0
AAVEUSDT,0.024394985311323267,0.09755559240751852,0.03436234257349419,1182.0
TIAUSDT,0.018833069153103302,0.13791392407205727,0.04179057695564231,699.0
INJUSDT,0.018612002401821776,0.08597608777008432,0.036956146298424634,1053.0
RNDRUSDT,0.0037181000805702573,0.04869047546568329,0.017427878670002898,458.0
MKRUSDT,0.00202774474990193,0.008230613285955694,0.04657500883371408,1257.0
STXUSDT,-0.01844076515530968,-0.16869181841546207,0.026392887731248232,745.0
ADAUSDT,-0.03311537096106187,-0.10928816769400104,0.07590101654096873,1390.0
LINKUSDT,-0.03607645161858031,-0.15032652489182444,0.04105465737648143,1355.0
DOTUSDT,-0.05523926177103161,-0.2534312899095921,0.052411109395695404,1290.0
APTUSDT,-0.09986062666750084,-0.5854092889291671,0.02899044371014803,997.0
XRPUSDT,-0.10286259352210443,-0.33610942542664635,0.07299559210645028,1327.0
SUIUSDT,-0.1065316930401225,-0.8233113531306117,0.0349854613258244,784.0
SEIUSDT,-0.1070824519892451,-0.6042271730384458,0.05764096691698316,833.0
WLDUSDT,-0.12646857336311101,-0.5830877206736574,0.05287122128562443,855.0
FETUSDT,-0.205231247276208,-0.9458365129961628,0.05523659095117099,1029.0
OPUSDT,-0.27068439678114375,-0.6945484044558324,0.04977379138180948,1141.0
