,total_pnl_pct,sharpe,avg_position,n_days_active
BTCUSDT,0.15697985685875956,1.3021587264529897,0.08351794411677291,1079.0
BNBUSDT,0.11766049602940525,0.9216332804048585,0.07934975539298557,1078.0
NEARUSDT,0.0916774366664809,0.3172112204989069,0.03480954102321058,1262.0
UNIUSDT,0.0815766444303522,0.3777029647978241,0.0370270164727224,1386.0
ARBUSDT,0.08005491607823977,0.5562915129991619,0.042933349374538694,944.0
ADAUSDT,0.07325758888157882,0.2456880317137884,0.07415082498888008,1416.0
ETHUSDT,0.06674563869216033,0.45949389281357256,0.07066823339492703,1079.0
TIAUSDT,0.037917212606119466,0.2716796577963094,0.04145028907055055,750.0
AAVEUSDT,0.03352413764562941,0.13080560429660001,0.03759697474946628,1404.0
SOLUSDT,0.02492003773109575,0.2295311762344123,0.031419309317285087,1015.0
INJUSDT,0.02169635001083306,0.09936389251247546,0.03823200805208125,1106.0
WLDUSDT,0.02084956108899133,0.10601987064577248,0.050375272203673195,872.0
AVAXUSDT,0.01962083402178193,0.09399364305595855,0.03260116456264877,1338.0
LTCUSDT,0.011536626939610141,0.04364443158991267,0.06503450753045899,1399.0
ATOMUSDT,0.00992185123971076,0.0405594863703574,0.04903564449159812,1307.0
MKRUSDT,0.005021979693739558,0.019806283151484305,0.04851338207427065,1368.0
STXUSDT,-0.022122472887226997,-0.2022356201646395,0.026235692149951896,844.0
RNDRUSDT,-0.035659131236352906,-0.4776874454813377,0.017557668981360186,503.0
XRPUSDT,-0.039574117847615414,-0.12979984790795537,0.0727106264547279,1408.0
LINKUSDT,-0.04502688497883043,-0.18141351660469404,0.04425849020776304,1404.0
APTUSDT,-0.06986012506725547,-0.405002678497269,0.03062074496017594,1064.0
DOTUSDT,-0.0710918019819263,-0.3167465556227094,0.05467531277452059,1357.0
SEIUSDT,-0.07443164524661125,-0.4155825824601599,0.055834053543164876,838.0
FETUSDT,-0.07582413501044774,-0.3710327155706057,0.05301528577008558,1060.0
SUIUSDT,-0.09649135237820078,-0.7554661400439592,0.034511393639247094,924.0
OPUSDT,-0.2857519299122204,-0.7228278154159175,0.05007517303908709,1208.0
