,total_pnl_pct,sharpe,avg_position,n_days_active
BTCUSDT,0.15709478388364095,1.252601541905285,0.08691555468639005,1076.0
BNBUSDT,0.11206094895940018,0.8562923017894591,0.08141471532455775,1072.0
NEARUSDT,0.08916161133220252,0.31458455927658197,0.03427744621781253,1213.0
UNIUSDT,0.08512129266171724,0.40041378935661814,0.035771021541019035,1385.0
ARBUSDT,0.07224433571177682,0.523436331889937,0.04153567586241643,972.0
TIAUSDT,0.07094932307759372,0.5316795001452155,0.039851349600838776,766.0
ETHUSDT,0.06817369257880261,0.46600059081644335,0.0695594091083479,1076.0
ATOMUSDT,0.05522319596061877,0.22691308423834777,0.048520891534176186,1343.0
ADAUSDT,0.04439598158069074,0.15218772295372482,0.07132835427748749,1414.0
AVAXUSDT,0.034836852588205666,0.1667134137916736,0.032555680863455345,1349.0
INJUSDT,0.031573374434399795,0.1423699459232965,0.039056245634529536,1104.0
MKRUSDT,0.027033793388419745,0.10626867166987994,0.048278884158043565,1374.0
LTCUSDT,0.01734832677490305,0.06483804344226242,0.06457595692493934,1401.0
WLDUSDT,0.012647698120528093,0.06380156316759357,0.04970746263653092,871.0
AAVEUSDT,0.006948684416343541,0.027533500525222503,0.03703202143698516,1393.0
SOLUSDT,0.006720950123248234,0.06444674877069816,0.029243434136426813,1015.0
STXUSDT,-0.019573891786073584,-0.1784589198704091,0.025717042070311943,827.0
RNDRUSDT,-0.019684611545383254,-0.26626542551909627,0.01734743251554695,488.0
LINKUSDT,-0.029978049840960294,-0.12139885656511011,0.043303681714093815,1396.0
DOTUSDT,-0.04249928246026961,-0.18736100859388843,0.05503123806368912,1354.0
XRPUSDT,-0.04584127967325661,-0.15552150927625188,0.07019241166268915,1376.0
APTUSDT,-0.06359549324711815,-0.3785919638203147,0.030432521943281412,1068.0
FETUSDT,-0.07154336997459823,-0.35420702380825303,0.05189991691979239,1063.0
SEIUSDT,-0.07433137551010657,-0.43858115097262895,0.052580383536007046,843.0
SUIUSDT,-0.09871382590272469,-0.7898165505134179,0.03354771465792258,897.0
OPUSDT,-0.24884827651714975,-0.6424111065922293,0.04979793484358939,1226.0
