,total_pnl_pct,sharpe,avg_position,n_days_active
BTCUSDT,0.1318857159577167,1.0243881803420627,0.0921332296684662,1054.0
ARBUSDT,0.1284555036964271,0.7603900972509243,0.04038053520119043,531.0
BNBUSDT,0.11807359208329866,0.8557023902063838,0.08749036893550777,1047.0
ATOMUSDT,0.103810297392582,0.44836711329065293,0.0433653141149382,847.0
NEARUSDT,0.09875316089982122,0.2953327506522569,0.027333948483162934,343.0
UNIUSDT,0.08490896691104904,0.42615842214745286,0.02879932205638008,637.0
LTCUSDT,0.05548104912684557,0.17304401487766188,0.0716856493745737,1090.0
AAVEUSDT,0.05206981159610498,0.18008905386681154,0.03006466095940947,618.0
ETHUSDT,0.03543243393617336,0.2230281985745411,0.07790768784833557,1002.0
SOLUSDT,0.030973906181866705,0.2842917747906313,0.02655976286731964,528.0
ADAUSDT,0.002691142380914266,0.007427232660203311,0.08710162560152707,1253.0
INJUSDT,-0.0042499108886939075,-0.02208491829999641,0.027280467338808456,394.0
TIAUSDT,-0.00665615451599498,-0.04355624849833939,0.040621425263169066,492.0
STXUSDT,-0.007321747604006865,-0.06146681425195944,0.021543634698022462,305.0
AVAXUSDT,-0.019534773862209205,-0.0897767885751769,0.023519346425196975,403.0
RNDRUSDT,-0.026337454981005027,-0.33254716412003743,0.014310883993050768,255.0
MKRUSDT,-0.03172643019579127,-0.11180471943831542,0.04612252330851045,739.0
LINKUSDT,-0.045564168621154956,-0.17026164756160184,0.04023727236492697,832.0
WLDUSDT,-0.06702715433772843,-0.265915851474061,0.05944733024554056,680.0
DOTUSDT,-0.08287521680275237,-0.3222346049795291,0.05892742594158383,945.0
SEIUSDT,-0.08904135300669586,-0.4023967476172261,0.07467221284172934,812.0
SUIUSDT,-0.13188675110065562,-0.9888852541138846,0.029597067011390154,397.0
XRPUSDT,-0.15347388768557535,-0.40565232421474756,0.08313085817645478,1113.0
OPUSDT,-0.18799045873302572,-0.4498841228449527,0.048449391491295235,650.0
FETUSDT,-0.2212444607986474,-0.9564530207004563,0.052109422513043874,774.0
APTUSDT,-0.2301209821755384,-1.0166608447945427,0.022035834491545236,372.0
