signal,horizon,IC_mean,IC_median,IC_std,ICIR,t_stat,t_stat_std,pct_positive,turnover_mean,IC_mean_in,IC_mean_out,IC_sub1_2022_2023,IC_sub2_2024_2025,n_days
reversal_1d,1,0.02255729379637211,0.04136752136752136,0.2872230445548853,0.0785358077076634,2.640439734256048,2.597624523092362,0.5411334552102377,0.32862718464897733,0.01659208680365436,0.03149148509140143,0.04043828886902601,0.013641290773843321,1094
reversal_1d,2,0.02423174402695679,0.02923076923076923,0.281995127651598,0.08592965498643243,2.854957359549079,2.840881698954294,0.5333943275388838,0.32862718464897733,0.01553604158785776,0.03728524700189722,0.03899695369473229,0.016859266223019514,1093
reversal_1d,3,0.021813755648735424,0.025299145299145294,0.2772995992557139,0.0786649375162627,2.609810206251705,2.59951615781202,0.5293040293040293,0.32862718464897733,0.007728281476604947,0.04300657917377577,0.013468842394392385,0.025986212275906938,1092
reversal_1d,5,0.015161112742917862,0.021538461538461538,0.2748658223952234,0.05515823179033892,1.8671716724112226,1.821057188096536,0.536697247706422,0.32862718464897733,0.006721540555196246,0.02791770111882887,-0.00047051562194931726,0.022998458093898094,1090
reversal_1d,10,0.006312266964799472,0.013076923076923076,0.2757344795415286,0.022892555821437545,0.7664513818937121,0.7540656380984568,0.5124423963133641,0.32862718464897733,0.014334555708988735,-0.005954915823517916,0.007677181830006184,0.005623183731879574,1085
reversal_1d,20,-0.020543840726451292,-0.028376068376068375,0.2685852416968845,-0.07648909000605596,-2.633648295584998,-2.507862527472572,0.4604651162790698,0.32862718464897733,-0.012014738279832404,-0.03389728035647992,-0.016976735053388203,-0.02237003828621918,1075
reversal_1w,1,0.027349037176990908,0.025897435897435893,0.282146076964575,0.09693219013080494,3.3265267081614214,3.1972932674541004,0.5349264705882353,0.12658031615565926,0.027584809815995207,0.026999146274358968,0.026530219799131814,0.027750594192434138,1088
reversal_1w,2,0.027628892691111535,0.027692307692307697,0.2748464155138391,0.10052484271791554,2.5957583309509955,3.3142722024243603,0.5418583256669733,0.12658031615565926,0.03459555661060875,0.017266577936710645,0.027579193053449736,0.027653299371883724,1087
reversal_1w,3,0.023400647916001403,0.03205128205128205,0.2800099847656932,0.08357076243399891,1.8420649922475936,2.7540338695278734,0.5331491712707183,0.12658031615565926,0.03430555662848399,0.00714332988133699,0.019615804364136177,0.025261875926396674,1086
reversal_1w,5,0.013704796826929825,0.0075213675213675205,0.284497520786688,0.048171937628959084,0.9138312098084318,1.5860203539747855,0.5083025830258303,0.12658031615565926,0.0404678281526857,-0.026378084190907314,0.024403579501784546,0.00842908856577558,1084
reversal_1w,10,-0.017282778344941064,-0.003076923076923077,0.27370532831584715,-0.06314374093951614,-1.1452168586090061,-2.0741541527581377,0.4939759036144578,0.12658031615565926,0.014014248539069308,-0.06470251604798707,0.005425526462212208,-0.028558191827549755,1079
reversal_1w,20,-0.04769961961570335,-0.05384615384615384,0.27025203059932057,-0.1765005040292314,-3.0179519182011076,-5.7707837811886735,0.42188961646398504,0.12658031615565926,-0.025608682393849794,-0.08196956995986757,-0.046691264290031925,-0.04820734283172356,1069
momentum_30d,1,0.008650170995500998,0.0,0.2953021893882077,0.029292607052531477,1.125466568981205,0.9559448319593176,0.49765258215962443,0.061072941212583075,0.0024256051613636555,0.01756067962108117,0.0035601236528548623,0.010986014639044087,1065
momentum_30d,2,0.01606852394167233,0.022606837606837606,0.28743279909593655,0.0559035850891503,1.6537236804277293,1.8235197609766498,0.525375939849624,0.061072941212583075,0.006304198080495634,0.03007820887292586,0.015808487009817015,0.016188019651098298,1064
momentum_30d,3,0.023432370236448223,0.0220214568040655,0.2779753199053116,0.08429658519479402,2.0092314712174955,2.748378954012686,0.528692380056444,0.061072941212583075,0.008005208283538774,0.0456177613934992,0.016988147538503848,0.02639777491201329,1063
momentum_30d,5,0.03428634865200212,0.037264957264957266,0.27380598305080517,0.12522132741577174,2.4051350780291747,4.078833665521768,0.5475966069745523,0.061072941212583075,0.014806379619931864,0.062429068889578276,0.022788948539369948,0.03959162280865747,1061
momentum_30d,10,0.056276620974336874,0.06059353689788473,0.25876254568946483,0.2174836424815251,3.5891936975651695,7.067381855600108,0.5861742424242424,0.061072941212583075,0.0400963245132302,0.07992474657133893,0.04525010409988802,0.061399898578969825,1056
momentum_30d,20,0.0694004219746837,0.07661447248403772,0.24607232851273833,0.28203261372028293,4.292684321118427,9.121477149079608,0.621414913957935,0.061072941212583075,0.06312815153871858,0.078786373199863,0.0854209050016967,0.0618520931222936,1046
volatility,1,0.07021416316874336,0.08307692307692309,0.3602437074318288,0.19490739663240456,6.944932617838114,6.360673810537124,0.5821596244131455,0.023524830137824356,0.060721573517533114,0.08380287027218818,0.04735894659198141,0.080702515981367,1065
volatility,2,0.07599574185904225,0.09346153846153846,0.3501927890497428,0.21701115567016285,5.786344231836862,7.07868967769875,0.5892857142857143,0.023524830137824356,0.0615384991826979,0.09673874222075365,0.04884048377455126,0.08847449557413756,1064
volatility,3,0.08650568274799839,0.09230769230769231,0.3468603096015,0.24939631417437993,5.459944760773052,8.131237813504367,0.6067732831608654,0.023524830137824356,0.06497562850780328,0.11746748093286616,0.05581929153473505,0.10062648090245335,1063
volatility,5,0.10305239049393199,0.1176923076923077,0.34394284937713837,0.2996206802396218,5.389752397158753,9.759542904302238,0.6182846371347785,0.023524830137824356,0.06785533442436656,0.15390159361747466,0.06085188105720387,0.12252507735523215,1061
volatility,10,0.12655521368550696,0.13703629703629705,0.3358082451115829,0.37686749961560645,5.841558507729433,12.24674416134526,0.6553030303030303,0.023524830137824356,0.07705717312021586,0.19889850374247084,0.0685698982759514,0.15349707313377478,1056
volatility,20,0.1527688822348937,0.18544018417083433,0.3273565723818491,0.4666742479717027,6.669678019013518,15.093142714195482,0.6864244741873805,0.023524830137824356,0.08999136379667609,0.2467104193727516,0.07223667449318437,0.1907130307489199,1046
liquidity,1,-0.05820536801789771,-0.07036078161473203,0.2704937146068099,-0.2151819612611152,-7.282318104084784,-7.025616890923101,0.42213883677298314,0.0007797472927396212,-0.05355154436146546,-0.06487797362575033,-0.04791751306224656,-0.06294059988789605,1066
liquidity,2,-0.06842138068793063,-0.08153846153846152,0.27019210565477697,-0.2532323456383743,-6.344640607160317,-8.264069895308936,0.39154929577464787,0.0007797472927396212,-0.05896769677780073,-0.0820069950942501,-0.05813416993400707,-0.07316281115887485,1065
liquidity,3,-0.07815655780175822,-0.09465811965811965,0.27480346145791346,-0.2844089277009635,-5.967435528450761,-9.277138470347236,0.37875939849624063,0.0007797472927396212,-0.06707935513718845,-0.09411179466723943,-0.06705949069139346,-0.08327828108346502,1064
liquidity,5,-0.09276486143136256,-0.10769230769230768,0.2816719567693266,-0.3293365178959996,-5.599550388414731,-10.732530904921427,0.3662900188323917,0.0007797472927396212,-0.07234325974688453,-0.12231501317756575,-0.07241029083135142,-0.10218515856855778,1062
liquidity,10,-0.10938889007066689,-0.14307692307692307,0.28733407982369247,-0.3807028046857082,-5.7130776730560875,-12.37723309745808,0.3509933774834437,0.0007797472927396212,-0.08538548337666839,-0.14452674415885117,-0.08237646969332742,-0.12197720247952412,1057
liquidity,20,-0.1287914345812094,-0.16657255787690575,0.2845472117642686,-0.452618859916666,-6.366538518675683,-14.64556016247992,0.32760267430754536,0.0007797472927396212,-0.10252234076407209,-0.16816372793959178,-0.08827054105568174,-0.14794054882112118,1047
vol_compression,1,-0.006309165057105175,-0.003076923076923077,0.24681502662868224,-0.02556232148132909,-0.7966677460664645,-0.8342094327465267,0.49577464788732395,0.13987904581150706,-0.006852900283783097,-0.005530804355901853,-0.00395106293961077,-0.0073913078096539825,1065
vol_compression,2,-0.004534021656039892,-0.005555555555555556,0.2433145137102109,-0.018634406911870204,-0.46311488992526156,-0.607835958707951,0.4906015037593985,0.13987904581150706,-0.004081310447722645,-0.005183563824495074,-0.0006447468588974448,-0.006321274134836489,1064
vol_compression,3,-0.0003305986589455868,0.003846153846153846,0.24364166708197108,-0.001356905257237301,-0.030514709649456087,-0.04424010584725893,0.5023518344308561,0.13987904581150706,0.00324590197264271,-0.005473869062628754,0.007205667121089335,-0.0037985231593737475,1063
vol_compression,5,0.007933800197696088,0.016923076923076923,0.24712445074255396,0.032104472762030566,0.6327683100270558,1.045738829143763,0.5174363807728558,0.13987904581150706,0.002794913619118002,0.015357952005918343,0.005730885780963835,0.008950296519466478,1061
vol_compression,10,0.031002924216838482,0.02576923076923077,0.24466850797758585,0.1267139954917233,2.4208263777052395,4.117717463118512,0.5378787878787878,0.13987904581150706,0.014838754494152548,0.05462747996537948,0.014279275186542591,0.0387732743210675,1056
vol_compression,20,0.03260880457856445,0.023846153846153843,0.24530271715858798,0.132932912265635,2.4255990595805876,4.299306046903438,0.5391969407265774,0.13987904581150706,0.028681858545840443,0.03848516534829703,0.02899738387713507,0.03431038817206492,1046
volume_compression,1,-0.03248252470449035,-0.03782608695652173,0.22951639117267575,-0.14152594739977525,-4.545246216479317,-4.620773417662092,0.4455909943714822,0.17936908038916194,-0.03024466835433044,-0.03569114065860089,-0.03026041035823117,-0.0335053061022206,1066
volume_compression,2,-0.023656746460071924,-0.02222222222222222,0.2318832472083174,-0.10202007581349491,-2.778944473952112,-3.329357610782549,0.4647887323943662,0.17936908038916194,-0.02388650968720266,-0.023326560403691826,-0.03177745181565177,-0.019913869917582445,1065
volume_compression,3,-0.013645701899126662,-0.016837606837606836,0.23415557920150679,-0.058276219365175186,-1.3916560612506805,-1.9009127489398066,0.47650375939849626,0.17936908038916194,-0.014357432285321615,-0.012620548957543111,-0.016852276521069666,-0.012165744381306812,1064
volume_compression,5,-0.010318484742391226,-0.0036622073578595317,0.22992627237821062,-0.04487736279835882,-0.9320249109160549,-1.4624788233075796,0.4934086629001883,0.17936908038916194,-0.016347770212650742,-0.0015940808822000284,-0.01758009676802823,-0.006957738680939387,1062
volume_compression,10,0.0005626660664308679,-0.0005646527385657821,0.2373062078565469,0.0023710549821393764,0.04558562234385622,0.07708664039146246,0.4985808893093661,0.17936908038916194,-0.01271372364232759,0.019997567551513176,-0.02866843605880296,0.014184927251005857,1057
volume_compression,20,0.009736174990740443,0.003846153846153846,0.23455158991585345,0.04150973776913362,0.7757006141171976,1.3431463327412854,0.5081184336198663,0.17936908038916194,0.00481507726545678,0.01711194914701286,-0.025019520320596702,0.026160807374157147,1047
taker_buy_contrarian,1,-0.010833212663571172,-0.009565217391304347,0.24730494141036513,-0.043805079679322276,-1.4231248957779494,-1.4482200493167359,0.4757548032936871,0.14368089999138736,-0.00977941613308794,-0.01240909560299243,-0.007450626435902017,-0.012515238417877888,1093
taker_buy_contrarian,2,-0.023677167026232217,-0.02692307692307692,0.2447358402412048,-0.09674580969790393,-2.524878274625421,-3.1970062323931305,0.45604395604395603,0.14368089999138736,-0.019158285641201103,-0.030450318758944758,-0.021485842577604632,-0.024768320352503564,1092
taker_buy_contrarian,3,-0.031706777106397015,-0.03739130434782608,0.24127039261744565,-0.13141594690679995,-3.0140159131335054,-4.34070672260166,0.44087992667277726,0.14368089999138736,-0.02516115322372624,-0.04154022582921665,-0.03076369704740318,-0.032177021696252465,1091
taker_buy_contrarian,5,-0.039407435862753734,-0.04051383399209487,0.2393294741965235,-0.16465767952339472,-3.349702875668428,-5.433703424272026,0.44077134986225897,0.14368089999138736,-0.020816383357793698,-0.06746536072623029,-0.03408757831519202,-0.04206736463653459,1089
taker_buy_contrarian,10,-0.05404047607795486,-0.0335042735042735,0.23495128937292042,-0.230007148384619,-4.112568928062354,-7.572791065776091,0.43357933579335795,0.14368089999138736,-0.02905636061417151,-0.09218638663454717,-0.03134219104016937,-0.06546832277520331,1084
taker_buy_contrarian,20,-0.09691634745170224,-0.09461538461538462,0.23771382569647165,-0.40770176983921536,-7.037805339691244,-13.36117761956822,0.34916201117318435,0.14368089999138736,-0.07136112227412157,-0.13686544647632123,-0.05948363837624041,-0.11602756178980725,1074
clv,1,-0.011609610041716642,-0.012649572649572649,0.25732094614256523,-0.045117236726171885,-1.590936981194441,-1.4902353738043286,0.4821264894592117,0.1505865920298479,-0.006027906586079134,-0.01993119076439082,-0.01687260200968421,-0.009006952369886103,1091
clv,2,-0.010962861833995044,-0.011923076923076923,0.2526619531952224,-0.043389444652651966,-1.2084019449988899,-1.4325089385129322,0.47706422018348627,0.1505865920298479,-0.011188526841986431,-0.010625655311756204,-0.02226802659409061,-0.005364556651012192,1090
clv,3,-0.009663889154686706,-0.007692307692307692,0.24426626928264267,-0.039562929351921836,-0.9486122656095868,-1.3055766686134205,0.48484848484848486,0.1505865920298479,-0.010252083829952272,-0.008782946212144455,-0.0191549934108053,-0.004957448719990526,1089
clv,5,0.0044201767673906125,0.008893280632411068,0.24353303720275962,0.01815021410713357,0.37705861603449364,0.5984068062869249,0.5096596136154554,0.1505865920298479,-0.010289044586088767,0.026551793227810053,-0.010988311087950559,0.012081973070115364,1087
