,total_pnl_pct,sharpe,avg_position,n_days_active
BTCUSDT,0.15589587771943908,1.272658216642628,0.084647746538983,1073.0
BNBUSDT,0.11512925570347356,0.9077310764262976,0.079618696101731,1070.0
NEARUSDT,0.10048090694533787,0.343679673299277,0.035334982609748926,1333.0
ETHUSDT,0.07609870582611497,0.5254316226110068,0.071335714769776,1073.0
UNIUSDT,0.07409155963847436,0.3354164380664048,0.038600817486825624,1376.0
ARBUSDT,0.05449705057588333,0.3632139106874439,0.0441497105554669,970.0
LTCUSDT,0.04917205041811509,0.18398325696261755,0.06595670334037962,1394.0
ATOMUSDT,0.02674648051645373,0.10903024585241815,0.05036668509996484,1332.0
MKRUSDT,0.0265671731483479,0.10392203090928122,0.04928857830146753,1372.0
TIAUSDT,0.02611927314456379,0.188710421348086,0.042725057409986965,773.0
AAVEUSDT,0.022490108095125638,0.08707406551965159,0.03930520845972557,1377.0
SOLUSDT,0.017487780526624322,0.16265671924840422,0.03266927512496836,1021.0
AVAXUSDT,0.016314971105172528,0.07703075447287584,0.03348055385239625,1348.0
ADAUSDT,0.003750233916871515,0.01234339753817729,0.0776006107416383,1413.0
STXUSDT,0.0007821064530201868,0.006844835179300648,0.02942569795153399,864.0
RNDRUSDT,-0.001004857783328329,-0.013280977878107635,0.018060097525399943,478.0
INJUSDT,-0.011819087910654408,-0.05364330113870984,0.039811425517895384,1150.0
WLDUSDT,-0.04519265542474763,-0.21355102535867224,0.05341947763996629,868.0
DOTUSDT,-0.04951980128990492,-0.21968584059302373,0.055436178521996615,1413.0
LINKUSDT,-0.051752277503996066,-0.20944912324602624,0.044696932789341184,1392.0
APTUSDT,-0.08359290067635973,-0.46824173566173405,0.03227153604617504,1068.0
SEIUSDT,-0.08726509207234787,-0.4827921116777067,0.05843579452799396,835.0
XRPUSDT,-0.10310777752829688,-0.3331196468027888,0.07514246956558576,1407.0
FETUSDT,-0.10592218347656351,-0.4882202139817021,0.056613751119628804,1059.0
SUIUSDT,-0.11864794198006892,-0.9043624877244766,0.0367253891815524,949.0
OPUSDT,-0.30278041577910086,-0.757586019648431,0.051708355606690876,1214.0
